"Notes"	"HHS Region"	"HHS Region Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Methadone"	"T40.3"	"2014"	"2014"	572	52196212	1.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Methadone"	"T40.3"	"2015"	"2015"	560	52276605	1.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Methadone"	"T40.3"	"2016"	"2016"	553	52275925	1.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Methadone"	"T40.3"	"2017"	"2017"	588	52461850	1.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	1149	52196212	2.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	2307	52276605	4.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	4899	52275925	9.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	7557	52461850	14.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cocaine"	"T40.5"	"2014"	"2014"	1329	52196212	2.5
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cocaine"	"T40.5"	"2015"	"2015"	1669	52276605	3.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cocaine"	"T40.5"	"2016"	"2016"	2579	52275925	4.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cocaine"	"T40.5"	"2017"	"2017"	3694	52461850	7.0
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	401	52196212	0.8
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	448	52276605	0.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	552	52275925	1.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	451	52461850	0.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	102	52196212	0.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	145	52276605	0.3
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	203	52275925	0.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	277	52461850	0.5
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	72	40536626	0.2
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	69	41114489	0.2
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	61	41537086	0.1
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	70	42012142	0.2
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	20	40536626	0.0
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	15	41114489	Unreliable
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	19	41537086	Unreliable
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	34	42012142	0.1
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	198	40536626	0.5
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	217	41114489	0.5
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	271	41537086	0.7
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	319	42012142	0.8
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Heroin"	"T40.1"	"2014"	"2014"	729	40536626	1.8
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Heroin"	"T40.1"	"2015"	"2015"	865	41114489	2.1
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Heroin"	"T40.1"	"2016"	"2016"	932	41537086	2.2
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Heroin"	"T40.1"	"2017"	"2017"	971	42012142	2.3
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other opioids"	"T40.2"	"2014"	"2014"	1311	40536626	3.2
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other opioids"	"T40.2"	"2015"	"2015"	1223	41114489	3.0
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other opioids"	"T40.2"	"2016"	"2016"	1216	41537086	2.9
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other opioids"	"T40.2"	"2017"	"2017"	1261	42012142	3.0
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Methadone"	"T40.3"	"2014"	"2014"	296	40536626	0.7
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Methadone"	"T40.3"	"2015"	"2015"	303	41114489	0.7
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Methadone"	"T40.3"	"2016"	"2016"	287	41537086	0.7
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Methadone"	"T40.3"	"2017"	"2017"	238	42012142	0.6
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	374	40536626	0.9
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	435	41114489	1.1
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	565	41537086	1.4
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	776	42012142	1.8
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cocaine"	"T40.5"	"2014"	"2014"	695	40536626	1.7
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cocaine"	"T40.5"	"2015"	"2015"	805	41114489	2.0
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cocaine"	"T40.5"	"2016"	"2016"	965	41537086	2.3
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cocaine"	"T40.5"	"2017"	"2017"	1140	42012142	2.7
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	202	40536626	0.5
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	207	41114489	0.5
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	209	41537086	0.5
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	175	42012142	0.4
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	43	40536626	0.1
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	64	41114489	0.2
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	59	41537086	0.1
	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	136	42012142	0.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	14	14042098	Unreliable
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	10	14015402	Unreliable
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	14	14092442	Unreliable
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	326	13956239	2.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	320	14015402	2.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	489	14042098	3.5
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	472	14092442	3.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Heroin"	"T40.1"	"2014"	"2014"	405	13956239	2.9
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Heroin"	"T40.1"	"2015"	"2015"	383	14015402	2.7
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Heroin"	"T40.1"	"2016"	"2016"	474	14042098	3.4
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Heroin"	"T40.1"	"2017"	"2017"	398	14092442	2.8
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other opioids"	"T40.2"	"2014"	"2014"	468	13956239	3.4
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other opioids"	"T40.2"	"2015"	"2015"	446	14015402	3.2
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other opioids"	"T40.2"	"2016"	"2016"	448	14042098	3.2
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other opioids"	"T40.2"	"2017"	"2017"	461	14092442	3.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Methadone"	"T40.3"	"2014"	"2014"	118	13956239	0.8
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Methadone"	"T40.3"	"2015"	"2015"	127	14015402	0.9
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Methadone"	"T40.3"	"2016"	"2016"	76	14042098	0.5
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Methadone"	"T40.3"	"2017"	"2017"	79	14092442	0.6
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	206	13956239	1.5
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	294	14015402	2.1
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	555	14042098	4.0
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	782	14092442	5.5
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cocaine"	"T40.5"	"2014"	"2014"	109	13956239	0.8
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cocaine"	"T40.5"	"2015"	"2015"	136	14015402	1.0
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cocaine"	"T40.5"	"2016"	"2016"	174	14042098	1.2
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cocaine"	"T40.5"	"2017"	"2017"	217	14092442	1.5
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	88	13956239	0.6
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	85	14015402	0.6
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	62	14042098	0.4
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	58	14092442	0.4
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	36	13956239	0.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	38	14015402	0.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	44	14042098	0.3
	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	39	14092442	0.3
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	17	11499157	Unreliable
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	12	11686945	Unreliable
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	27	11843189	0.2
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	12	11963854	Unreliable
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	14	11686945	Unreliable
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	13	11843189	Unreliable
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	26	11963854	0.2
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	184	11499157	1.6
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	204	11686945	1.7
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	276	11843189	2.3
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	245	11963854	2.0
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Heroin"	"T40.1"	"2014"	"2014"	289	11499157	2.5
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Heroin"	"T40.1"	"2015"	"2015"	313	11686945	2.7
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Heroin"	"T40.1"	"2016"	"2016"	445	11843189	3.8
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Heroin"	"T40.1"	"2017"	"2017"	402	11963854	3.4
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other opioids"	"T40.2"	"2014"	"2014"	733	11499157	6.4
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other opioids"	"T40.2"	"2015"	"2015"	719	11686945	6.2
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other opioids"	"T40.2"	"2016"	"2016"	641	11843189	5.4
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other opioids"	"T40.2"	"2017"	"2017"	650	11963854	5.4
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Methadone"	"T40.3"	"2014"	"2014"	130	11499157	1.1
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Methadone"	"T40.3"	"2015"	"2015"	98	11686945	0.8
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Methadone"	"T40.3"	"2016"	"2016"	119	11843189	1.0
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Methadone"	"T40.3"	"2017"	"2017"	119	11963854	1.0
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	198	11499157	1.7
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	164	11686945	1.4
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	197	11843189	1.7
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	263	11963854	2.2
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cocaine"	"T40.5"	"2014"	"2014"	129	11499157	1.1
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cocaine"	"T40.5"	"2015"	"2015"	120	11686945	1.0
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cocaine"	"T40.5"	"2016"	"2016"	177	11843189	1.5
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cocaine"	"T40.5"	"2017"	"2017"	170	11963854	1.4
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	89	11499157	0.8
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	92	11686945	0.8
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	79	11843189	0.7
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	58	11963854	0.5
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	37	11499157	0.3
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	20	11686945	0.2
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	27	11843189	0.2
	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	37	11963854	0.3
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	92	49792644	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	107	50295331	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	123	50549703	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	123	50978500	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	45	49792644	0.1
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	65	50295331	0.1
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	76	50549703	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	80	50978500	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	370	49792644	0.7
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	342	50295331	0.7
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	421	50549703	0.8
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	390	50978500	0.8
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Heroin"	"T40.1"	"2014"	"2014"	855	49792644	1.7
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Heroin"	"T40.1"	"2015"	"2015"	963	50295331	1.9
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Heroin"	"T40.1"	"2016"	"2016"	1023	50549703	2.0
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Heroin"	"T40.1"	"2017"	"2017"	1193	50978500	2.3
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other opioids"	"T40.2"	"2014"	"2014"	1703	49792644	3.4
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other opioids"	"T40.2"	"2015"	"2015"	1733	50295331	3.4
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other opioids"	"T40.2"	"2016"	"2016"	1683	50549703	3.3
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other opioids"	"T40.2"	"2017"	"2017"	1717	50978500	3.4
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Methadone"	"T40.3"	"2014"	"2014"	506	49792644	1.0
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Methadone"	"T40.3"	"2015"	"2015"	456	50295331	0.9
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Methadone"	"T40.3"	"2016"	"2016"	453	50549703	0.9
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Methadone"	"T40.3"	"2017"	"2017"	425	50978500	0.8
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	304	49792644	0.6
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	360	50295331	0.7
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	569	50549703	1.1
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	905	50978500	1.8
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cocaine"	"T40.5"	"2014"	"2014"	446	49792644	0.9
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cocaine"	"T40.5"	"2015"	"2015"	492	50295331	1.0
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cocaine"	"T40.5"	"2016"	"2016"	604	50549703	1.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cocaine"	"T40.5"	"2017"	"2017"	724	50978500	1.4
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	297	49792644	0.6
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	295	50295331	0.6
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	267	50549703	0.5
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	261	50978500	0.5
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	66	49792644	0.1
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	66	50295331	0.1
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	80	50549703	0.2
	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	84	50978500	0.2
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	45	13402965	0.3
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	48	13592690	0.4
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	60	13806499	0.4
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	75	14005257	0.5
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	56	13402965	0.4
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	55	13592690	0.4
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	74	13806499	0.5
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	70	14005257	0.5
	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	192	13402965	1.4
