"Notes"	"HHS Region"	"HHS Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	52	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Aug., 2014"	"2014/08"	49	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Sep., 2014"	"2014/09"	54	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	50	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Nov., 2014"	"2014/11"	40	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Dec., 2014"	"2014/12"	41	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jan., 2015"	"2015/01"	59	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Feb., 2015"	"2015/02"	41	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	64	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Apr., 2015"	"2015/04"	59	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"May, 2015"	"2015/05"	62	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jun., 2015"	"2015/06"	68	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jul., 2015"	"2015/07"	66	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Aug., 2015"	"2015/08"	56	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Sep., 2015"	"2015/09"	60	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Oct., 2015"	"2015/10"	63	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Nov., 2015"	"2015/11"	52	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	71	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jan., 2016"	"2016/01"	42	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Feb., 2016"	"2016/02"	83	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Mar., 2016"	"2016/03"	95	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Apr., 2016"	"2016/04"	97	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"May, 2016"	"2016/05"	90	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jun., 2016"	"2016/06"	85	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jul., 2016"	"2016/07"	77	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Aug., 2016"	"2016/08"	82	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Sep., 2016"	"2016/09"	97	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Oct., 2016"	"2016/10"	94	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Nov., 2016"	"2016/11"	106	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Dec., 2016"	"2016/12"	111	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jan., 2017"	"2017/01"	115	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Feb., 2017"	"2017/02"	109	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Mar., 2017"	"2017/03"	100	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Apr., 2017"	"2017/04"	114	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"May, 2017"	"2017/05"	109	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jun., 2017"	"2017/06"	122	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Jul., 2017"	"2017/07"	128	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Aug., 2017"	"2017/08"	102	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Sep., 2017"	"2017/09"	89	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Oct., 2017"	"2017/10"	83	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Nov., 2017"	"2017/11"	107	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"55-64 years"	"55-64"	"Dec., 2017"	"2017/12"	110	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Feb., 2014"	"2014/02"	11	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Apr., 2014"	"2014/04"	13	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jun., 2014"	"2014/06"	11	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jun., 2015"	"2015/06"	10	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Sep., 2015"	"2015/09"	11	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Dec., 2015"	"2015/12"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jan., 2016"	"2016/01"	17	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Mar., 2016"	"2016/03"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Apr., 2016"	"2016/04"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"May, 2016"	"2016/05"	15	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jun., 2016"	"2016/06"	18	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jul., 2016"	"2016/07"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Aug., 2016"	"2016/08"	15	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Sep., 2016"	"2016/09"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Oct., 2016"	"2016/10"	15	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Nov., 2016"	"2016/11"	18	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Dec., 2016"	"2016/12"	27	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jan., 2017"	"2017/01"	20	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Feb., 2017"	"2017/02"	21	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Mar., 2017"	"2017/03"	22	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Apr., 2017"	"2017/04"	19	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"May, 2017"	"2017/05"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jun., 2017"	"2017/06"	20	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Jul., 2017"	"2017/07"	17	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Aug., 2017"	"2017/08"	23	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Sep., 2017"	"2017/09"	19	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Oct., 2017"	"2017/10"	15	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Nov., 2017"	"2017/11"	16	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"65-74 years"	"65-74"	"Dec., 2017"	"2017/12"	17	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jan., 2014"	"2014/01"	46	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Feb., 2014"	"2014/02"	47	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Mar., 2014"	"2014/03"	44	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Apr., 2014"	"2014/04"	31	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"May, 2014"	"2014/05"	40	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jun., 2014"	"2014/06"	34	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jul., 2014"	"2014/07"	38	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Aug., 2014"	"2014/08"	44	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Sep., 2014"	"2014/09"	41	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Oct., 2014"	"2014/10"	39	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Nov., 2014"	"2014/11"	39	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Dec., 2014"	"2014/12"	44	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jan., 2015"	"2015/01"	39	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Feb., 2015"	"2015/02"	60	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Mar., 2015"	"2015/03"	52	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Apr., 2015"	"2015/04"	50	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"May, 2015"	"2015/05"	48	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jun., 2015"	"2015/06"	41	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jul., 2015"	"2015/07"	57	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Aug., 2015"	"2015/08"	41	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Sep., 2015"	"2015/09"	44	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Oct., 2015"	"2015/10"	47	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Nov., 2015"	"2015/11"	44	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Dec., 2015"	"2015/12"	54	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jan., 2016"	"2016/01"	57	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Feb., 2016"	"2016/02"	55	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Mar., 2016"	"2016/03"	69	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Apr., 2016"	"2016/04"	62	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"May, 2016"	"2016/05"	72	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jun., 2016"	"2016/06"	53	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jul., 2016"	"2016/07"	67	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Aug., 2016"	"2016/08"	76	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Sep., 2016"	"2016/09"	75	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Oct., 2016"	"2016/10"	81	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Nov., 2016"	"2016/11"	72	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Dec., 2016"	"2016/12"	72	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jan., 2017"	"2017/01"	80	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Feb., 2017"	"2017/02"	73	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Mar., 2017"	"2017/03"	75	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Apr., 2017"	"2017/04"	82	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"May, 2017"	"2017/05"	91	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jun., 2017"	"2017/06"	85	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Jul., 2017"	"2017/07"	66	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Aug., 2017"	"2017/08"	61	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Sep., 2017"	"2017/09"	89	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Oct., 2017"	"2017/10"	64	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Nov., 2017"	"2017/11"	44	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"15-24 years"	"15-24"	"Dec., 2017"	"2017/12"	80	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jan., 2014"	"2014/01"	94	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Feb., 2014"	"2014/02"	134	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Mar., 2014"	"2014/03"	107	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Apr., 2014"	"2014/04"	110	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"May, 2014"	"2014/05"	113	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jun., 2014"	"2014/06"	110	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jul., 2014"	"2014/07"	118	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Aug., 2014"	"2014/08"	135	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Sep., 2014"	"2014/09"	127	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Oct., 2014"	"2014/10"	131	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Nov., 2014"	"2014/11"	148	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Dec., 2014"	"2014/12"	158	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jan., 2015"	"2015/01"	157	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Feb., 2015"	"2015/02"	150	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Mar., 2015"	"2015/03"	171	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Apr., 2015"	"2015/04"	140	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"May, 2015"	"2015/05"	175	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jun., 2015"	"2015/06"	132	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jul., 2015"	"2015/07"	166	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Aug., 2015"	"2015/08"	172	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Sep., 2015"	"2015/09"	164	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Oct., 2015"	"2015/10"	160	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Nov., 2015"	"2015/11"	164	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Dec., 2015"	"2015/12"	151	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jan., 2016"	"2016/01"	167	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Feb., 2016"	"2016/02"	193	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Mar., 2016"	"2016/03"	215	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Apr., 2016"	"2016/04"	191	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"May, 2016"	"2016/05"	180	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jun., 2016"	"2016/06"	201	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jul., 2016"	"2016/07"	245	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Aug., 2016"	"2016/08"	233	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Sep., 2016"	"2016/09"	195	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Oct., 2016"	"2016/10"	251	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Nov., 2016"	"2016/11"	253	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Dec., 2016"	"2016/12"	260	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jan., 2017"	"2017/01"	247	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Feb., 2017"	"2017/02"	236	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Mar., 2017"	"2017/03"	268	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Apr., 2017"	"2017/04"	244	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"May, 2017"	"2017/05"	255	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"25-34 years"	"25-34"	"Jun., 2017"	"2017/06"	297	Not Applicable	Not Applicable
