"Notes"	"Census Division"	"Census Division Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Aug., 2014"	"2014/08"	68	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Sep., 2014"	"2014/09"	66	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Oct., 2014"	"2014/10"	78	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Nov., 2014"	"2014/11"	73	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Dec., 2014"	"2014/12"	70	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jan., 2015"	"2015/01"	49	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Feb., 2015"	"2015/02"	62	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Mar., 2015"	"2015/03"	86	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Apr., 2015"	"2015/04"	80	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"May, 2015"	"2015/05"	70	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jun., 2015"	"2015/06"	59	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jul., 2015"	"2015/07"	71	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Aug., 2015"	"2015/08"	70	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Sep., 2015"	"2015/09"	76	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Oct., 2015"	"2015/10"	80	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Nov., 2015"	"2015/11"	79	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Dec., 2015"	"2015/12"	69	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jan., 2016"	"2016/01"	95	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Feb., 2016"	"2016/02"	94	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Mar., 2016"	"2016/03"	108	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Apr., 2016"	"2016/04"	81	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"May, 2016"	"2016/05"	88	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jun., 2016"	"2016/06"	65	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jul., 2016"	"2016/07"	108	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Aug., 2016"	"2016/08"	72	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Sep., 2016"	"2016/09"	100	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Oct., 2016"	"2016/10"	98	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Nov., 2016"	"2016/11"	98	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Dec., 2016"	"2016/12"	101	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jan., 2017"	"2017/01"	138	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Feb., 2017"	"2017/02"	131	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Mar., 2017"	"2017/03"	113	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Apr., 2017"	"2017/04"	108	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"May, 2017"	"2017/05"	122	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jun., 2017"	"2017/06"	102	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Jul., 2017"	"2017/07"	92	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Aug., 2017"	"2017/08"	110	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Sep., 2017"	"2017/09"	120	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Oct., 2017"	"2017/10"	101	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Nov., 2017"	"2017/11"	105	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	"Dec., 2017"	"2017/12"	104	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jan., 2014"	"2014/01"	58	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Feb., 2014"	"2014/02"	51	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Mar., 2014"	"2014/03"	47	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Apr., 2014"	"2014/04"	61	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"May, 2014"	"2014/05"	57	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jun., 2014"	"2014/06"	53	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jul., 2014"	"2014/07"	52	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Aug., 2014"	"2014/08"	46	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Sep., 2014"	"2014/09"	61	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Oct., 2014"	"2014/10"	65	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Nov., 2014"	"2014/11"	68	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Dec., 2014"	"2014/12"	34	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jan., 2015"	"2015/01"	67	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Feb., 2015"	"2015/02"	59	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Mar., 2015"	"2015/03"	53	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Apr., 2015"	"2015/04"	78	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"May, 2015"	"2015/05"	83	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jun., 2015"	"2015/06"	61	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jul., 2015"	"2015/07"	62	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Aug., 2015"	"2015/08"	64	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Sep., 2015"	"2015/09"	62	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Oct., 2015"	"2015/10"	67	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Nov., 2015"	"2015/11"	54	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Dec., 2015"	"2015/12"	65	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jan., 2016"	"2016/01"	67	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Feb., 2016"	"2016/02"	73	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Mar., 2016"	"2016/03"	102	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Apr., 2016"	"2016/04"	92	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"May, 2016"	"2016/05"	92	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jun., 2016"	"2016/06"	61	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jul., 2016"	"2016/07"	91	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Aug., 2016"	"2016/08"	87	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Sep., 2016"	"2016/09"	88	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Oct., 2016"	"2016/10"	106	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Nov., 2016"	"2016/11"	84	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Dec., 2016"	"2016/12"	108	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jan., 2017"	"2017/01"	105	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Feb., 2017"	"2017/02"	98	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Mar., 2017"	"2017/03"	96	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Apr., 2017"	"2017/04"	113	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"May, 2017"	"2017/05"	97	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jun., 2017"	"2017/06"	113	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Jul., 2017"	"2017/07"	108	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Aug., 2017"	"2017/08"	87	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Sep., 2017"	"2017/09"	105	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Oct., 2017"	"2017/10"	97	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Nov., 2017"	"2017/11"	108	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	"Dec., 2017"	"2017/12"	92	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jan., 2014"	"2014/01"	25	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Feb., 2014"	"2014/02"	21	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Mar., 2014"	"2014/03"	38	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Apr., 2014"	"2014/04"	32	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"May, 2014"	"2014/05"	28	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jun., 2014"	"2014/06"	19	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jul., 2014"	"2014/07"	32	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Aug., 2014"	"2014/08"	21	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Sep., 2014"	"2014/09"	22	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Oct., 2014"	"2014/10"	41	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Nov., 2014"	"2014/11"	37	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Dec., 2014"	"2014/12"	31	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jan., 2015"	"2015/01"	37	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Feb., 2015"	"2015/02"	27	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Mar., 2015"	"2015/03"	33	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Apr., 2015"	"2015/04"	26	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"May, 2015"	"2015/05"	37	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jun., 2015"	"2015/06"	24	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jul., 2015"	"2015/07"	26	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Aug., 2015"	"2015/08"	32	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Sep., 2015"	"2015/09"	36	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Oct., 2015"	"2015/10"	31	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Nov., 2015"	"2015/11"	31	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Dec., 2015"	"2015/12"	42	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jan., 2016"	"2016/01"	27	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Feb., 2016"	"2016/02"	48	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Mar., 2016"	"2016/03"	41	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Apr., 2016"	"2016/04"	45	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"May, 2016"	"2016/05"	30	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jun., 2016"	"2016/06"	48	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jul., 2016"	"2016/07"	48	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Aug., 2016"	"2016/08"	38	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Sep., 2016"	"2016/09"	54	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Oct., 2016"	"2016/10"	38	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Nov., 2016"	"2016/11"	41	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Dec., 2016"	"2016/12"	63	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jan., 2017"	"2017/01"	62	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Feb., 2017"	"2017/02"	64	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Mar., 2017"	"2017/03"	59	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Apr., 2017"	"2017/04"	65	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"May, 2017"	"2017/05"	74	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jun., 2017"	"2017/06"	50	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Jul., 2017"	"2017/07"	50	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Aug., 2017"	"2017/08"	49	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Sep., 2017"	"2017/09"	53	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Oct., 2017"	"2017/10"	42	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Nov., 2017"	"2017/11"	62	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	"Dec., 2017"	"2017/12"	46	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jun., 2014"	"2014/06"	17	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jul., 2014"	"2014/07"	12	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Aug., 2014"	"2014/08"	14	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Sep., 2014"	"2014/09"	12	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Nov., 2014"	"2014/11"	11	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jan., 2015"	"2015/01"	11	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Mar., 2015"	"2015/03"	15	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Apr., 2015"	"2015/04"	15	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"May, 2015"	"2015/05"	13	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jun., 2015"	"2015/06"	15	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Sep., 2015"	"2015/09"	13	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Nov., 2015"	"2015/11"	16	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Dec., 2015"	"2015/12"	14	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jan., 2016"	"2016/01"	11	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Feb., 2016"	"2016/02"	14	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Mar., 2016"	"2016/03"	17	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Apr., 2016"	"2016/04"	15	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"May, 2016"	"2016/05"	16	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jun., 2016"	"2016/06"	18	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jul., 2016"	"2016/07"	22	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Aug., 2016"	"2016/08"	22	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Sep., 2016"	"2016/09"	24	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Oct., 2016"	"2016/10"	19	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Nov., 2016"	"2016/11"	11	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Dec., 2016"	"2016/12"	21	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jan., 2017"	"2017/01"	28	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Feb., 2017"	"2017/02"	35	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Mar., 2017"	"2017/03"	24	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Apr., 2017"	"2017/04"	16	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"May, 2017"	"2017/05"	20	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jun., 2017"	"2017/06"	17	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Jul., 2017"	"2017/07"	17	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Aug., 2017"	"2017/08"	19	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Sep., 2017"	"2017/09"	25	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Oct., 2017"	"2017/10"	26	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Nov., 2017"	"2017/11"	27	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	"Dec., 2017"	"2017/12"	18	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"70-74 years"	"70-74"	"May, 2017"	"2017/05"	11	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Feb., 2014"	"2014/02"	14	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Mar., 2014"	"2014/03"	12	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Apr., 2014"	"2014/04"	14	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"May, 2014"	"2014/05"	12	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Jul., 2014"	"2014/07"	17	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Aug., 2014"	"2014/08"	13	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Oct., 2014"	"2014/10"	15	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Dec., 2014"	"2014/12"	15	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Jan., 2015"	"2015/01"	10	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Mar., 2015"	"2015/03"	12	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Apr., 2015"	"2015/04"	11	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Jun., 2015"	"2015/06"	18	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Aug., 2015"	"2015/08"	18	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Nov., 2015"	"2015/11"	12	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Jan., 2016"	"2016/01"	17	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Feb., 2016"	"2016/02"	16	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Mar., 2016"	"2016/03"	21	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"20-24 years"	"20-24"	"Apr., 2016"	"2016/04"	20	Not Applicable	Not Applicable
