"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Dec., 2014"	"2014/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Aug., 2016"	"2016/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Dec., 2016"	"2016/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jan., 2017"	"2017/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Feb., 2017"	"2017/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Apr., 2017"	"2017/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Aug., 2017"	"2017/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Sep., 2017"	"2017/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Oct., 2017"	"2017/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Nov., 2017"	"2017/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"			0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Dec., 2014"	"2014/12"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jan., 2016"	"2016/01"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Aug., 2016"	"2016/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Dec., 2016"	"2016/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jan., 2017"	"2017/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Feb., 2017"	"2017/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Apr., 2017"	"2017/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Aug., 2017"	"2017/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Sep., 2017"	"2017/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Oct., 2017"	"2017/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Nov., 2017"	"2017/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, psychotic disorder"	"F11.5"			2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Dec., 2014"	"2014/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Aug., 2016"	"2016/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Dec., 2016"	"2016/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jan., 2017"	"2017/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Feb., 2017"	"2017/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Apr., 2017"	"2017/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Aug., 2017"	"2017/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Sep., 2017"	"2017/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Oct., 2017"	"2017/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Nov., 2017"	"2017/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, amnesic syndrome"	"F11.6"			0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Aug., 2014"	"2014/08"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Dec., 2014"	"2014/12"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Mar., 2015"	"2015/03"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"May, 2015"	"2015/05"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jan., 2016"	"2016/01"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Aug., 2016"	"2016/08"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Dec., 2016"	"2016/12"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jan., 2017"	"2017/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Feb., 2017"	"2017/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Apr., 2017"	"2017/04"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Jul., 2017"	"2017/07"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Aug., 2017"	"2017/08"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Sep., 2017"	"2017/09"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Oct., 2017"	"2017/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Nov., 2017"	"2017/11"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder"	"F11.7"			16	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"	"F11.8"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
